#ID ICD_VJ ICD_VJ_ERR ston_V PR alpha_VJ
16832 0.305985646772 0.00590678153046 10.8532020504 11 2.4593017904
5729 0.528423336057 0.0242728646169 4.32613211249 10 4.75780734503
4717 0.0239816604266 0.000906845936742 52.0822530922 10 1.27304357223
18324 0.0343374964218 0.00255386636564 19.5840684978 8 2.23079965693
25128 0.0938237626543 0.0102221879682 11.3471778383 23 1.3300261541
9081 0.246113549325 0.00539922814389 18.1150560566 18 1.67119324879
14505 0.0339226781595 0.000115693115957 109.931249065 8 1.3475028381
25531 0.021939321577 0.000683359288008 42.8401054635 7 1.52659860093
14220 0.0557008380498 0.00208860412405 31.863565904 10 1.11446255916
23718 0.0525335386902 0.00653104466708 7.84279732112 12 3.65544097377
6224 0.0396087508226 0.00222477891438 35.9277236692 6 1.69772580961
292 0.0212089488545 0.00214184592671 39.5887362277 7 2.08623134779
21157 0.0164973276197 0.00808821508618 16.746082381 17 1.95520342435
19430 0.043626218115 0.000744102030775 46.2106078494 8 1.26484146759
18213 0.00520207695602 0.000570277253802 35.0474712804 6 3.47694331541
1677 0.226949226651 0.0718241244182 14.8455911509 13 1.93215543991
19267 0.0218814293742 0.00586888261488 21.618806132 8 1.82855735395
19539 0.211755118242 0.00907067840146 21.2290896483 11 0.968835429834
26470 0.027895997381 0.000827836329179 40.657877994 6 1.14810367453
21345 0.00711648150393 0.00100814782749 43.6942931817 7 1.69497143346
25340 0.924562942799 0.00229500860098 6.85670408424 15 2.69781862272
20608 0.0220248777818 0.00185089479637 29.0464135718 8 2.06261449805
3428 0.181064332665 0.00540923987861 16.0818592822 13 3.69264913591
24218 0.0492578961206 0.00112805444555 49.6939969475 12 1.97135839451
21001 0.044810639319 0.00421483441312 21.3691699425 7 1.34303053667
22937 0.117718430613 0.0116783181243 14.6512244361 26 0.992869258031
12108 0.0921932946102 0.0195144112771 7.68374846275 11 1.57606773785
19119 0.0119718042514 0.00205860194615 33.332748321 10 1.804136862
26777 0.121882026375 0.00263668706708 31.0804500576 17 1.55548539985
1646 0.0463368336648 0.00062733783213 107.657226188 7 1.27124307757
20470 0.947474478001 0.0145422440724 1.67697667088 6 1.73972635962
11203 0.0644432272216 0.00082660040672 37.924539432 12 1.85711660221
10442 0.0152435676897 0.000234659927202 59.0872753129 7 2.07621865072
8601 0.0539666875589 0.00225110110097 28.1119136518 6 1.15904478479
3649 0.107988203239 0.0268682001807 10.9397094842 8 1.88072169474
1971 -0.0364121075679 0.0265143453644 22.4798452434 9 1.11743846815
15823 0.00118851598162 0.00684796507311 13.8707313921 10 2.06983516278
9947 0.550560254173 0.0357667415188 4.42088669918 12 3.62075800978
9672 0.679821081962 0.0308908172771 5.29487336079 11 0.982859728508
22276 0.175776983786 0.0109024792223 10.7084756952 13 3.02506019844
2532 0.015854431301 0.00774464507932 21.6283873743 9 1.18836293881
9343 0.115965142747 0.000264635150257 175.087570443 11 3.05856276816
11653 0.0470729406424 0.000299671691137 422.818915403 6 0.856026080313
20905 0.104335944888 0.000393347990049 78.5895266896 16 1.99071910964
11160 0.0303473616014 2.18992373361e-05 234.984068534 6 1.27602021351
13137 0.0785924204008 0.0237246764584 29.7527121288 15 2.38478597737
3291 0.0610399752513 0.0183616672774 10.4500056818 13 3.28983879312
22394 0.000936935573953 0.00284835837984 48.2813110593 11 1.00035603412
9131 0.0527943535339 0.000827018657819 35.3949237034 6 1.61003376319
20806 0.843340778741 0.0116790865729 3.8726006521 27 1.07513209687
7172 0.0312405300966 0.000612708182578 102.383257539 11 0.932910496817
15618 0.140863340253 0.00274361015828 23.0524703819 11 6.48491893266
13150 0.0293561072547 0.00143160188581 33.9994702458 6 0.904958710191
18795 0.798111048238 0.00303959563066 4.70601674411 16 5.99666330935
6485 0.0595651347415 0.00601809762995 24.6701287855 8 2.10570891473
15297 0.0169040686553 3.6407690482e-05 277.195844031 8 1.69231169081
18915 0.276969912608 0.00192617671766 24.6857195253 5 1.15314332046
15592 0.0192757528722 0.00385454510493 16.0163486287 7 1.75884428637
15521 0.0367851076167 0.00827623195534 22.7545749138 10 1.10585556366
22959 0.958235329527 0.0354482472918 3.99553135058 20 0.353777761607
22236 0.141317585824 0.000459008130979 71.1495943741 14 1.83334539801
1470 0.0488550729385 0.0136150146986 39.6324218984 17 1.23629751441
266 0.0778426807727 0.00109997738722 66.0567214253 7 0.924185444307
1036 0.0294106761063 0.00349855222065 20.4780256407 9 3.67055056052
24385 0.126332437012 0.00166583065276 23.4571809225 6 2.05041521397
19465 0.0512287092764 0.00501935526786 28.7871761672 11 1.27847733449
1726 0.0725027948816 0.0210719003943 19.8863001324 7 1.20396639024
16975 0.0467863601449 0.00376876844358 23.9021614081 9 1.44932918834
12938 0.0179334429684 0.00097049484011 146.197125071 10 2.02120290076
19696 0.0632248490585 0.00994229717811 16.4117847591 13 1.6288521993
149 0.037929439643 0.00651820652314 19.6345747573 7 2.2929464075
220 0.0867707520428 0.0145965972313 11.8315947375 5 1.98762413877
4237 0.0519028350242 0.00241859486365 39.6786755111 8 1.91612432932
26171 0.0124812854559 0.000624654142545 49.062672345 8 1.37865656735
1909 0.016910464124 4.97766614263e-05 134.954633966 8 7.137695847
14020 0.0326906421474 0.000192749637218 71.0955328235 12 3.01214703182
15208 0.0394747376561 0.00599610394754 14.3629529247 9 1.80149790098
25277 0.160751768346 0.00402557888617 19.4471834316 19 3.24849089026
26819 0.0573744425507 0.00125384512513 32.7841515591 7 2.34493032114
363 0.0600878625011 0.00280873518474 45.108115866 6 0.951113492765
26474 0.0248928419386 0.000297860783789 65.7915270229 21 2.03027459557
18607 0.223690033277 0.0136648352581 5.69476957783 9 39.5658565101
7353 0.0411840816133 0.00238017078028 26.2783257299 8 2.27620849063
25896 0.066778861588 0.000803388407143 46.7723664562 13 1.75332162924
7008 0.041312789283 0.000537383474403 62.7407970964 16 1.5338649812
3375 0.00684870839131 0.000852332733915 47.8686575682 7 2.25590849521
8467 0.0629956745469 0.00394273892135 16.7024850179 9 2.10211327541
24961 0.324908620657 0.0310097257282 7.01567146533 20 1.22667991348
3008 0.0172591602546 0.000843464689956 62.9788705449 7 1.80165290634
18334 0.0463907919223 0.00037857371521 59.5508103821 9 2.01541561728
16471 0.343925252644 0.0162195374082 3.25934676672 6 21.8517927907
7105 0.0341993386219 0.00253813299719 12.8913354226 7 3.42389514093
1217 0.0877528176451 0.0176897513516 27.4519505559 22 1.08842652576
25293 0.0605487581424 0.00319466198374 17.3120885047 6 3.43529065987
14149 0.0260210432361 0.00247047833861 18.8240169983 5 1.2993785801
23454 0.0337460210434 0.00340271946475 18.9014285522 10 3.70575754172
264 0.0248233315525 0.00128939969617 46.6676628079 9 2.57588352045
16841 0.0223007249695 0.000734484675068 45.3538745955 8 1.83099952587
16850 0.0148393530885 0.00419888874051 15.5530240244 9 2.0599362925
20189 0.00900401338147 0.00434522501235 16.8052855147 10 3.23154436912
12206 0.0198049269918 0.0019727861594 139.748227906 10 1.1060935446
12752 0.0270432997033 0.00345787807036 20.0651011713 6 5.74306273467
15953 0.0651205689525 0.00221836261099 20.128167382 8 1.53605618185
4181 0.204524416567 0.00234580684413 37.2490408659 13 2.19306957156
19473 0.167591066335 0.00895309372479 7.77889066038 8 16.094744642
8902 0.0336369737772 0.00242849101598 24.5273664308 14 5.15839711636
17227 0.0559367187738 0.000329355592868 124.332264985 12 1.72035636099
8926 0.0248246201206 0.00717922076529 14.5174799835 13 1.22318987614
22474 0.0584859616135 0.00882357353106 7.8713761165 6 4.93981009763
16406 0.0506343126431 0.00428622535983 19.9680247211 12 1.90130122022
19529 0.0358550515508 0.00179311031777 25.3542456545 6 2.03623499585
13917 0.0704694041291 0.00657544145066 12.5600637135 11 2.58668702032
22586 0.0147476290012 0.000737728768615 52.3415289288 6 1.28432328207
2283 0.637842728221 0.0628811708034 5.86408773564 19 1.28192303424
19823 0.108677835181 0.00692044268744 23.5757145965 11 1.07273547406
