#ID RA DEC Imag Zmag Jmag Hmag z
31 53.1038264 -27.9540187 24.3554042806 24.4483427958 24.1288088997 23.7659307752 2.8146
38 53.1044835 -27.9532402 24.8545213936 25.0887013829 24.4290345723 24.5804456251 1.528
39 53.0992772 -27.9531577 25.8222375583 25.536163805 24.6362900848 24.6422726139 1.7
49 53.0906011 -27.9524238 24.8420215485 24.6643032566 23.6708413974 23.3209883768 2.055
54 53.1061542 -27.9516099 24.3714445708 24.4498947506 24.1188098157 23.9544619436 2.045
55 53.105934 -27.951661 24.3628151499 24.3589641993 23.7999090993 23.7354160744 1.887
73 53.0995266 -27.9491529 25.3628923998 25.3134500138 24.2157105908 23.9258193809 1.506
109 53.1050986 -27.9461143 24.5495671555 24.5947114479 24.6647335729 24.4571672877 2.526
118 53.1356859 -27.9455145 25.3665996871 25.4747632692 24.9541069298 24.5675387976 2.235
123 53.094895 -27.9453052 26.2072891495 26.304393692 25.6631842898 24.7171434921 3.33
135 53.1422875 -27.9444707 26.1445333918 25.6925558768 24.5672155755 23.4790509679 2.835
140 53.1046285 -27.9439442 25.4085558405 25.5777519438 24.7266008577 24.3850608205 2.044
148 53.1241586 -27.9436967 24.789590638 25.0598355137 24.4342041724 23.9050309966 2.5778
149 53.1304927 -27.9434812 25.7353210103 25.7816321582 25.0590490104 24.8042536879 2.777
154 53.132264 -27.9432978 24.9510154074 24.9131266425 24.8140587648 24.5338776932 2.704
160 53.1307749 -27.9431965 25.0074748366 24.9654315225 24.0035496821 23.6227769087 1.8293
164 53.129844 -27.9428584 24.8529637519 24.9472203103 24.9810432327 24.6075660616 2.707
182 53.0898289 -27.9424216 24.3636352395 24.2696939813 24.089825391 23.7960643469 1.932
188 53.0900028 -27.9419679 25.6422799737 25.6459602555 25.279525487 24.8071265863 2.326
201 53.1202204 -27.9413714 26.045208146 26.1246204287 24.9701022743 24.5058457821 2.136
205 53.1255003 -27.941527 24.4712554492 24.4737739004 24.1818572147 23.7163090064 2.455
208 53.0948724 -27.94121 27.8216066747 28.3911871628 25.5991097255 24.9612394744 1.909
219 53.1040095 -27.9408984 24.9536827558 24.8505506878 24.0293662511 24.0456290215 1.586
220 53.0861953 -27.9405557 26.1933955546 26.2833524547 25.5471905522 24.8726951545 2.812
222 53.1148885 -27.9407293 26.0647405941 25.924759313 23.4378173538 22.8914222228 1.613
224 53.0949142 -27.9403881 25.4200657515 25.6666930745 24.4865942991 24.2743879183 1.968
225 53.1122458 -27.9401271 26.0641268483 26.0450202225 25.0275501205 24.8802022626 1.683
229 53.1361039 -27.9401629 24.6713657216 24.7528974675 24.5853025566 24.3592111133 2.255
240 53.0892331 -27.9395575 25.7481643631 25.754520633 24.8646877021 24.3174032895 2.387
245 53.0900268 -27.939746 25.185036677 25.1167828287 23.7386210573 23.4074123052 2.041
248 53.1094945 -27.9392473 25.5182898006 25.5799484964 25.2400959127 24.8798863085 2.447
255 53.0843304 -27.9393774 24.3482848137 24.2321727941 23.2995133016 22.9976837882 1.514
258 53.1363615 -27.939223 24.4977136106 24.4664701445 23.6630887026 23.6775170111 1.681
260 53.0878463 -27.9392153 25.4463954818 25.6619126748 24.7822470645 24.2830225843 2.671
264 53.1439488 -27.9390434 24.9429531455 24.9021052115 23.9651482461 23.8035986085 1.691
266 53.0836886 -27.9389073 24.4117045045 24.4019778439 24.2840582397 24.1341381485 2.498
274 53.0907378 -27.9395666 23.0974546119 22.9494899915 22.2311715025 22.0603343506 1.8408
281 53.1422819 -27.9383994 25.2432489971 25.2165271211 24.4502948014 24.453876591 1.63
282 53.0898717 -27.9400053 23.7994537395 23.6256572047 22.1347552635 21.6831825381 2.073
287 53.1003415 -27.9388221 24.6496864338 24.6906718035 23.7789828974 23.2887443696 1.9781
292 53.0995893 -27.9379949 25.1688149416 25.0147618261 24.5335312548 24.1154746376 2.098
298 53.137895 -27.9377578 25.987988093 25.7700836142 25.4379565163 24.9044330962 2.47
307 53.0992907 -27.9374171 25.660312887 25.607512306 25.0584965877 24.9329665151 2.107
308 53.1001712 -27.9375157 25.2626859599 25.330052005 24.848038978 24.368074125 2.861
309 53.1064947 -27.9376614 25.1671184675 24.8248613425 24.7152508218 24.294339905 2.455
312 53.1011076 -27.9372977 25.2392978871 25.2446379118 24.6492988421 24.4312691133 2.067
313 53.1204446 -27.9372786 25.5737575717 25.4919622366 25.0165396231 24.9228118552 1.507
328 53.1302312 -27.9370572 24.6729819815 24.8910673992 24.534280713 24.1181074497 2.963
336 53.085238 -27.9369386 24.6887056934 24.7733498447 24.5213230048 24.0586251696 2.6711
355 53.1203446 -27.9359024 25.9161728416 25.9509194784 25.4927764123 24.973137842 2.358
357 53.1000788 -27.9361716 24.0879971005 24.1090204329 23.9994416144 23.240170478 1.905
363 53.0841854 -27.9356792 25.1069805545 25.0844976169 24.9669794397 24.6449840619 2.6692
366 53.1002665 -27.9364523 23.6725218656 23.6352116569 22.6101465851 22.2685043081 1.9306
371 53.0917077 -27.9360139 23.8127072792 23.7370033674 22.8119025285 22.6229038451 1.7619
372 53.0929203 -27.9363229 24.1033871202 24.0980486641 23.3606616135 22.789704466 2.559
374 53.1238211 -27.9354756 24.8891594169 24.8504933613 24.4923158139 24.0021078233 2.049
377 53.0832739 -27.935494 23.8398433478 23.8632052488 23.6736318723 23.3549026002 1.729
380 53.1255751 -27.9352724 24.8935750306 24.9345504454 24.7501999967 24.4859366334 3.349
382 53.133359 -27.9355559 25.1125984976 25.0738635919 24.440219623 23.9148189111 2.536
395 53.1174475 -27.9347177 26.0594911395 26.148255335 25.4924139581 24.965909576 2.522
397 53.0996945 -27.9347364 23.4647632181 23.4313956224 23.4276155457 23.5388213522 1.9888
402 53.1253006 -27.9348555 26.0240530956 26.4898650321 24.5589908149 23.3897543315 2.418
413 53.1095855 -27.9345624 24.4184395376 24.3920385705 23.8563940359 23.4114686827 2.7066
423 53.1012984 -27.934337 24.2626567903 24.2239039081 23.8159481205 23.1893688317 2.904
430 53.1366895 -27.9335198 25.8975182822 25.1339471453 25.3723403563 24.6601012807 2.563
431 53.1343948 -27.933449 26.3716555024 26.3554765887 25.6579642093 24.9554493281 2.33
436 53.0884879 -27.9334409 25.2207698123 25.2676373664 24.9455950481 24.3489872752 2.649
443 53.140679 -27.933355 25.3886084068 25.475383936 24.8365465064 24.5364034146 2.092
452 53.1711745 -27.9329345 25.1264459222 25.0289834561 25.057279094 24.3511977396 3.241
465 53.1400962 -27.9329165 24.588765546 24.6497210856 24.0937987947 23.574817216 2.571
467 53.1054381 -27.9324542 25.3145401606 25.3235668184 25.1852175382 24.74534056 2.753
489 53.0913477 -27.9319538 24.3394136082 24.5020187394 23.9307762546 23.3647721871 3.0715
490 53.1225537 -27.9315483 25.6529873467 25.5960246343 25.161829668 24.4954922692 2.976
494 53.1088667 -27.9316467 24.2397684898 24.1645187127 23.5536196289 23.2040135295 2.0962
502 53.1617395 -27.9313224 25.1620275338 25.1340858575 24.199747516 24.0251034779 1.521
507 53.1030619 -27.9309893 25.8193653145 25.9965799944 24.9004178142 24.8940604358 1.738
515 53.1703508 -27.930735 28.1010638257 28.5454274313 25.5189985608 24.802903628 1.904
522 53.1345126 -27.9308852 25.0637322022 25.0705365757 24.5837321145 24.2744139758 2.5255
534 53.130148 -27.9303291 25.3419590658 25.3180816974 24.904570025 24.3981420246 2.282
535 53.1603935 -27.9303818 24.743147907 24.7379909229 23.8444860026 23.9019876298 1.597
540 53.1102342 -27.9304933 24.0290054892 24.0314929005 23.4250747435 23.1141888386 2.0987
542 53.0891593 -27.9301756 24.673479947 24.7164845974 24.6301722835 24.329584898 2.776
544 53.098927 -27.930119 27.1554364141 27.0526544025 25.712436073 24.9213951371 2.566
550 53.1713052 -27.9301465 24.9276297029 24.9343505683 24.7158698362 24.5041739341 3.293
555 53.1000313 -27.9297744 24.8202369616 24.6675017699 24.6315664458 24.3394754505 2.621
556 53.176491 -27.929667 26.6410407095 26.5292781897 25.6775391144 24.9148698654 2.746
558 53.116056 -27.9309614 23.8564774787 23.8712747761 22.9542187816 22.814480234 1.629
559 53.1752037 -27.9296252 25.6277836326 25.697456374 25.1532004037 24.5327609228 2.089
560 53.0841361 -27.9297568 25.3335226099 25.3446913667 25.0210090882 24.6266999906 2.351
565 53.087702 -27.9294703 25.3404277201 25.6681750216 24.6451630532 24.5799885436 1.71
567 53.1345029 -27.929553 25.7928206397 25.8112167579 24.8775703356 24.4228327907 1.768
570 53.105818 -27.9296013 24.0447999604 24.0084265414 23.7013685117 23.6708589805 2.0252
579 53.1767847 -27.9292326 25.7670549409 25.9867630299 25.1620518355 24.570019365 2.887
580 53.0873235 -27.9295488 24.9486369263 25.0737963755 23.8011970193 22.4978969843 2.683
583 53.0843082 -27.929147 26.928156523 26.8770623102 25.8338160163 24.9169704206 2.708
594 53.1405469 -27.9293403 24.8812605752 24.8732218661 24.0586905113 24.0008132152 1.591
599 53.11122 -27.9289624 24.3880436071 24.3571315008 23.5783396019 23.2847264686 2.1049
603 53.1079245 -27.9286164 24.5431380889 24.5793306841 24.6887034485 24.4596623241 2.1659
624 53.1493359 -27.9280912 25.0615146612 25.1120446766 25.1439595145 24.5373637941 2.914
627 53.1447578 -27.9284242 23.9649061685 23.9342118465 23.0134277595 22.7126609854 1.952
643 53.0782371 -27.9272428 25.4573539288 25.4878255033 25.2906889384 24.7479003132 2.62
646 53.1028912 -27.9272825 25.6103783949 24.51950038 24.7608359761 24.8255588662 1.698
647 53.1717252 -27.9272607 25.6145943207 25.6722108494 24.5527494732 24.4152849234 1.675
653 53.1606708 -27.9269761 25.9324397489 25.8697441606 25.3221818736 24.6835858292 2.37
655 53.1513506 -27.9270383 25.9232815156 25.9699675894 24.7308400548 23.8069119828 2.926
656 53.1759631 -27.927046 26.2260517367 26.139935148 24.8404429983 24.1776763732 2.369
658 53.0821575 -27.9269437 23.9714021439 23.9470906791 23.539187304 23.4545799901 3.2527
672 53.1541318 -27.9265603 24.8798193808 24.9373046092 24.6954208567 24.371216644 3.376
675 53.1517877 -27.9265524 26.4373807381 26.4212282043 24.824352484 23.8542788192 2.68
684 53.0841976 -27.9262221 24.8401848615 24.7224314095 24.605098081 24.2886424264 3.093
687 53.0845265 -27.9261986 25.4077327571 25.3941487644 24.7372065722 24.0350330742 2.957
688 53.1661602 -27.9260893 24.9134330922 24.8944049611 24.1773174818 24.2127710853 1.573
697 53.1581585 -27.9257154 25.1737869593 25.1593749681 25.1338084508 24.9063269843 3.1922
703 53.1284502 -27.9255756 25.3314876117 25.3583612931 24.9150219431 24.4376352002 2.268
710 53.1763592 -27.9255439 25.1708745158 25.2041285693 24.2417538311 23.8784995706 2.118
715 53.1099854 -27.9256742 24.8751793213 24.7322809542 23.3713042512 22.9748744073 1.768
719 53.1750134 -27.9250638 25.7177110929 25.6540628224 24.573399554 24.1889094277 1.738
733 53.0950798 -27.9249625 25.8231945364 25.6209331703 23.7312348779 23.2776710451 1.839
734 53.1075061 -27.9246447 25.6051757867 25.6688060158 24.9896195488 24.5159389542 2.667
738 53.1104154 -27.9248013 25.1629826562 25.1201112133 24.4431611053 24.1644854669 1.927
739 53.1266833 -27.9246029 25.7869094734 25.8693644778 25.1349828399 24.6364954622 2.445
745 53.1815953 -27.9241705 25.0144617688 25.1195001338 24.9287857019 24.5956424132 3.349
747 53.0937216 -27.9247922 24.280443925 24.3216311512 24.1451642172 23.593158202 3.063
750 53.1550117 -27.9245455 24.4632277781 24.4533866472 23.9171647415 23.5684943753 2.5426
763 53.11356 -27.9241415 24.2398976643 24.3256103822 24.0016570387 23.466109297 2.8044
773 53.0853753 -27.9245102 23.5118801129 23.3851495008 22.7605246616 22.5620591231 1.8613
777 53.1572525 -27.9234768 25.1912635487 25.292903354 24.5778337126 24.0382370224 2.511
792 53.1670842 -27.9236863 23.3254947311 23.277340584 22.3757685803 22.2413083632 1.58
798 53.1662482 -27.9228002 25.6550190884 25.5790407967 24.8247264718 24.3783435165 2.511
803 53.2125255 -27.922385 25.6569177217 25.6521582656 24.8484056116 24.9048713293 1.691
806 53.1685385 -27.9225279 26.4597799019 26.2276439156 24.1342418754 23.609302724 1.53
808 53.088883 -27.9223427 25.286102352 25.4213830532 25.1266374429 24.5196463848 2.707
812 53.1039769 -27.9225881 26.499349998 27.3426629248 24.9437166481 23.7250993973 2.584
813 53.138572 -27.9223908 25.6858817277 25.5031123976 25.2530089201 24.6482255675 2.255
814 53.138987 -27.9224729 24.6080078099 24.5778438477 24.3612166754 24.0514939333 3.134
819 53.1339176 -27.9219891 26.1645823725 26.1184791186 25.1368875754 24.9587032048 1.856
820 53.1560019 -27.922856 23.6605428493 23.6502461759 23.4994891688 23.3840283398 2.7632
821 53.1694304 -27.922472 24.8588190925 24.845483784 24.5329456748 23.9767981081 2.588
840 53.1716783 -27.9218356 24.1435365763 24.1211365755 23.7235847728 23.605455091 2.5246
842 53.1479173 -27.9217322 25.297581753 25.3826111451 25.1723770761 24.6650410461 3.121
848 53.2132752 -27.9213091 24.6355822583 24.4797780448 23.592577264 23.3100495471 1.52
857 53.1407034 -27.9215992 25.35951416 25.2143208991 24.0581879836 23.3394639717 2.421
859 53.0949097 -27.9222094 24.0559670861 23.9819036881 22.8018854344 22.5159628853 1.681
860 53.1823723 -27.9212128 25.4262165474 25.1554272092 24.1475618469 23.6748400735 2.085
866 53.1128163 -27.9211476 24.310280743 24.2505306213 24.0447540578 23.5150743294 2.7034
867 53.2099654 -27.9210261 24.6110047713 24.6099561463 23.1610162833 22.5782673225 1.58
874 53.1755427 -27.9206644 25.6718776584 25.7686744426 24.984764001 24.5052540858 2.053
875 53.1258127 -27.9209379 24.2013141009 24.1241501511 23.4471353229 23.310207205 2.1595
877 53.1712512 -27.9204608 25.7953496622 25.6630631195 25.0943427161 24.4018692428 2.909
881 53.180269 -27.9208566 25.0513499598 24.9010182052 23.7128035432 23.2954803123 2.004
885 53.0876235 -27.9206641 25.0624803187 25.1420048521 24.1125233062 23.9184295588 1.704
886 53.1557491 -27.9202976 25.7078750799 25.84189633 25.4180114859 24.9228285663 1.957
887 53.1505485 -27.9206006 24.9260753842 24.8959471694 24.2794548275 23.8359571634 2.575
895 53.2122829 -27.9199548 25.2363012104 25.333725913 24.4918344345 24.0950545975 2.229
899 53.1799269 -27.9206841 23.8571139406 23.7803531815 22.5320067177 22.0211710025 2.122
905 53.1473305 -27.9197982 25.1985563042 25.1955301996 24.8154707112 24.3958957056 2.664
908 53.1608589 -27.9198727 24.7658714702 24.7471348331 24.6820496573 24.4716322013 3.3618
931 53.1160929 -27.9193868 24.4946658343 24.3208917658 23.4317200407 23.2895794395 1.8445
939 53.1560466 -27.9191765 24.3514708675 24.333407308 24.3034171284 24.007308939 3.0
949 53.1992845 -27.9187634 24.1674094427 24.259856753 23.9600139543 23.7021373667 3.332
950 53.0926447 -27.9187799 25.5579554273 25.4630466771 24.4366576137 24.2628948765 1.718
954 53.1616801 -27.9187376 26.1267371783 26.1452544348 24.521332626 23.3139282635 2.521
957 53.096982 -27.9186365 24.8071190754 24.7584442534 23.9116108383 23.7294982271 1.673
961 53.1177824 -27.918823 24.7524831344 24.7300841725 23.9345805512 23.4842430078 2.39
972 53.0870083 -27.9180467 25.4446736075 25.5787248098 25.3462081745 24.9916325519 2.652
975 53.2075134 -27.9183163 24.8153370018 24.7523141128 23.6651331903 23.5643499884 1.622
976 53.1757201 -27.9181286 25.3131307641 25.2546561104 24.8503422422 24.2183436068 2.552
990 53.2009141 -27.9175585 25.685302568 25.7362632494 24.8697179243 24.5624926682 2.188
993 53.2048678 -27.9179461 25.7577067679 25.6018547804 23.8005726827 22.9411572174 2.239
1000 53.1368316 -27.9173479 27.8294807238 28.713708571 25.7402828268 24.4565870244 2.64
1005 53.1733321 -27.917719 24.2873014325 24.258822763 23.3138586531 23.1872662151 1.5669
1029 53.1098397 -27.9167222 25.4653532767 25.5727131265 25.0306770449 24.3331451581 2.577
1031 53.162973 -27.9168822 23.6169805754 23.5818815522 23.4861324758 23.1584521843 2.1255
1033 53.1162112 -27.9173844 24.8529089093 24.794835858 23.6718264874 23.3507833242 1.738
