,ID,RA,DEC
0,54.0,53.1061542,-27.9516099
1,109.0,53.1050986,-27.9461143
2,258.0,53.1363615,-27.939223
3,274.0,53.0907378,-27.9395666
4,357.0,53.1000788,-27.9361716
5,366.0,53.1002665,-27.9364523
6,371.0,53.0917077,-27.9360139
7,377.0,53.0832739,-27.935494
8,465.0,53.1400962,-27.9329165
9,494.0,53.1088667,-27.9316467
10,502.0,53.1617395,-27.9313224
11,535.0,53.1603935,-27.9303818
12,540.0,53.1102342,-27.9304933
13,550.0,53.1713052,-27.9301465
14,559.0,53.1752037,-27.9296252
15,570.0,53.105818,-27.9296013
16,603.0,53.1079245,-27.9286164
17,624.0,53.1493359,-27.9280912
18,627.0,53.1447578,-27.9284242
19,653.0,53.1606708,-27.9269761
20,672.0,53.1541318,-27.9265603
21,688.0,53.1661602,-27.9260893
22,710.0,53.1763592,-27.9255439
23,719.0,53.1750134,-27.9250638
24,745.0,53.1815953,-27.9241705
25,750.0,53.1550117,-27.9245455
26,777.0,53.1572525,-27.9234768
27,792.0,53.1670842,-27.9236863
28,798.0,53.1662482,-27.9228002
29,814.0,53.138987,-27.9224729
30,820.0,53.1560019,-27.922856
31,821.0,53.1694304,-27.922472
32,840.0,53.1716783,-27.9218356
33,842.0,53.1479173,-27.9217322
34,866.0,53.1128163,-27.9211476
35,867.0,53.2099654,-27.9210261
36,874.0,53.1755427,-27.9206644
37,881.0,53.180269,-27.9208566
38,899.0,53.1799269,-27.9206841
39,905.0,53.1473305,-27.9197982
40,908.0,53.1608589,-27.9198727
41,931.0,53.1160929,-27.9193868
42,939.0,53.1560466,-27.9191765
43,975.0,53.2075134,-27.9183163
44,1005.0,53.1733321,-27.917719
45,1031.0,53.162973,-27.9168822
46,1042.0,53.1636465,-27.9166946
47,1047.0,53.15992,-27.9165132
48,1052.0,53.1837868,-27.9162821
49,1054.0,53.1831468,-27.9176626
50,1057.0,53.1933607,-27.9161284
51,1064.0,53.159923,-27.9160917
52,1084.0,53.1936923,-27.9155864
53,1109.0,53.1390993,-27.9152572
54,1125.0,53.1683887,-27.9149755
55,1138.0,53.1708334,-27.9146636
56,1153.0,53.1504334,-27.9142909
57,1180.0,53.1724546,-27.9136475
58,1185.0,53.1703597,-27.9136667
59,1194.0,53.1672023,-27.9144033
60,1244.0,53.1953882,-27.9136237
61,1266.0,53.1637334,-27.9120514
62,1280.0,53.2025002,-27.9112634
63,1289.0,53.1635124,-27.9111888
64,1308.0,53.1723797,-27.9111932
65,1314.0,53.2153861,-27.9110418
66,1339.0,53.1830987,-27.910283
67,1341.0,53.2092354,-27.9102554
68,1354.0,53.2024509,-27.9097746
69,1364.0,53.220853,-27.9097545
70,1392.0,53.1676653,-27.9094734
71,1455.0,53.1886109,-27.9080574
72,1482.0,53.1484221,-27.9082326
73,1483.0,53.1485934,-27.9076348
74,1506.0,53.2112307,-27.9082988
75,1542.0,53.1623916,-27.9063386
76,1556.0,53.1619967,-27.9066958
77,1558.0,53.1883601,-27.9058495
78,1560.0,53.2043544,-27.9059092
79,1623.0,53.1837407,-27.9044862
80,1643.0,53.1843529,-27.9041863
81,1646.0,53.1785248,-27.904294
82,1647.0,53.1553719,-27.9042681
83,1661.0,53.2128673,-27.9041911
84,1732.0,53.2242578,-27.9026498
85,1740.0,53.0923806,-27.9027095
86,1794.0,53.1556238,-27.9018014
87,1845.0,53.1330195,-27.9008636
88,1860.0,53.1760937,-27.9005442
89,1883.0,53.1697792,-27.9007874
90,1884.0,53.2114299,-27.9003002
91,1886.0,53.1145592,-27.9006907
92,1888.0,53.1720253,-27.900079
93,1898.0,53.1545002,-27.8998929
94,1907.0,53.1906069,-27.9003468
95,1909.0,53.1709126,-27.9004743
96,1926.0,53.1188104,-27.9001856
97,1929.0,53.2375839,-27.8999693
98,1942.0,53.0825867,-27.8995528
99,1946.0,53.0896156,-27.8999049
100,1986.0,53.15946,-27.8989329
101,1997.0,53.2027929,-27.8988436
102,2000.0,53.1688809,-27.8983019
103,2007.0,53.1857665,-27.8986621
104,2043.0,53.1877874,-27.898276
105,2065.0,53.1493373,-27.8974677
106,2109.0,53.1793424,-27.8973797
107,2136.0,53.1618938,-27.8970884
108,2179.0,53.1610366,-27.896071
109,2210.0,53.1897661,-27.8953694
110,2218.0,53.2003828,-27.8952568
111,2227.0,53.1890237,-27.8959937
112,2231.0,53.1283221,-27.895716
113,2236.0,53.1527613,-27.8953202
114,2255.0,53.1927567,-27.8945703
115,2269.0,53.1610995,-27.8944989
116,2278.0,53.2328259,-27.8946637
117,2292.0,53.1602079,-27.8945406
118,2296.0,53.1589591,-27.8944319
119,2298.0,53.2172577,-27.8941337
120,2308.0,53.2113565,-27.8937661
121,2322.0,53.1834795,-27.8938882
122,2324.0,53.1360842,-27.8937852
123,2349.0,53.196684,-27.8934798
124,2361.0,53.2111908,-27.8936461
125,2365.0,53.1412225,-27.8931878
126,2456.0,53.212662,-27.891739
127,2498.0,53.1857089,-27.8911472
128,2500.0,53.113311,-27.891269
129,2513.0,53.0952212,-27.89176
130,2520.0,53.1276738,-27.8910047
131,2567.0,53.187452,-27.8902436
132,2576.0,53.2413972,-27.8903643
133,2580.0,53.2547135,-27.8901565
134,2644.0,53.1645038,-27.8903886
135,2679.0,53.2577037,-27.8888733
136,2684.0,53.1601801,-27.8891938
137,2691.0,53.2557205,-27.8887622
138,2699.0,53.208537,-27.888714
139,2742.0,53.2128142,-27.8887476
140,2744.0,53.2106344,-27.8883668
141,2753.0,53.2133737,-27.8882541
142,2766.0,53.1882219,-27.8886634
143,2825.0,53.2664419,-27.8872418
144,2841.0,53.2447701,-27.8867353
145,2845.0,53.266235,-27.8867892
146,2887.0,53.2275177,-27.8863916
147,2912.0,53.2678862,-27.8859711
148,2923.0,53.2446033,-27.8864013
149,2926.0,53.1380785,-27.8872021
150,2933.0,53.2700247,-27.8858929
151,2941.0,53.2357533,-27.8856709
152,2954.0,53.202948,-27.8857416
153,2959.0,53.243963,-27.88553
154,3008.0,53.1899901,-27.8848914
155,3074.0,53.2481396,-27.8842409
156,3102.0,53.243237,-27.8836909
157,3169.0,53.2234065,-27.8831532
158,3175.0,53.2615417,-27.8829587
159,3194.0,53.2281868,-27.8827831
160,3200.0,53.1685747,-27.8831328
161,3211.0,53.1733667,-27.883164
162,3227.0,53.1056669,-27.8826077
163,3268.0,53.26081,-27.8817711
164,3280.0,53.0606151,-27.8823723
165,3304.0,53.082109,-27.8819673
166,3347.0,53.0878722,-27.8813031
167,3382.0,53.2645855,-27.8805535
168,3397.0,53.1390735,-27.8806543
169,3506.0,53.2566515,-27.8792497
170,3560.0,53.2613746,-27.8786598
171,3593.0,53.2578701,-27.8785372
172,3594.0,53.1616492,-27.8784807
173,3643.0,53.0760044,-27.8781615
174,3644.0,53.1240263,-27.8785606
175,3656.0,53.0653613,-27.8785831
176,3666.0,53.2665176,-27.8778831
177,3746.0,53.2441442,-27.8768014
178,3750.0,53.2588567,-27.8766511
179,3790.0,53.0840807,-27.8773207
180,3792.0,53.2487897,-27.8763019
