# Col. 1: ID in CANDELS multi-wavelength catalog (Guo et al. 2013)
# Col. 2: RA
# Col. 3: DEC
# Col. 4: Number of blobs with UV Luminosity L_blob/L_galaxy>0.01
# Col. 5: Number of blobs with UV Luminosity L_blob/L_galaxy>0.05
# Col. 6: Number of blobs with UV Luminosity L_blob/L_galaxy>0.08
# Col. 7: Number of blobs with UV Luminosity L_blob/L_galaxy>0.10
6 53.0999405 -27.9582797  0 0 0 0 
18 53.1035270 -27.9564824  4 4 4 3 
25 53.0848802 -27.9558190  0 0 0 0 
31 53.1038264 -27.9540187  1 1 1 1 
33 53.0837097 -27.9540596  0 0 0 0 
40 53.0882628 -27.9542560  5 1 0 0 
44 53.0865954 -27.9530261  0 0 0 0 
49 53.0906011 -27.9524238  1 1 0 0 
53 53.0836007 -27.9526205  0 0 0 0 
58 53.0852375 -27.9520347  3 1 0 0 
76 53.0832090 -27.9513285  0 0 0 0 
79 53.0905242 -27.9505466  5 4 1 1 
80 53.0776475 -27.9496553  6 4 4 4 
107 53.0851050 -27.9483683  6 2 0 0 
125 53.0794889 -27.9487353  0 0 0 0 
135 53.1422875 -27.9444707  0 0 0 0 
145 53.0803223 -27.9436714  0 0 0 0 
148 53.1241586 -27.9436967  1 1 1 1 
160 53.1307749 -27.9431965  0 0 0 0 
168 53.1350813 -27.9427085  0 0 0 0 
170 53.0879559 -27.9428157  1 1 1 1 
171 53.0842704 -27.9460495  4 3 0 0 
172 53.0786565 -27.9431844  0 0 0 0 
180 53.1048036 -27.9428683  3 3 3 1 
237 53.1087342 -27.9417797  1 1 1 1 
239 53.0930879 -27.9398607  1 0 0 0 
274 53.0907378 -27.9395666  3 2 1 1 
278 53.0833153 -27.9410792  4 0 0 0 
282 53.0898717 -27.9400053  1 1 0 0 
290 53.0942236 -27.9395718  3 3 0 0 
291 53.1007120 -27.9380655  0 0 0 0 
300 53.0869025 -27.9383494  3 2 2 2 
306 53.0897148 -27.9385134  0 0 0 0 
344 53.1357666 -27.9369545  3 3 0 0 
351 53.0804495 -27.9365458  1 0 0 0 
366 53.1002665 -27.9364523  6 4 1 0 
371 53.0917077 -27.9360139  1 1 1 1 
372 53.0929203 -27.9363229  2 2 2 1 
385 53.0732544 -27.9358932  6 5 1 0 
396 53.0661472 -27.9350315  3 2 1 0 
413 53.1095855 -27.9345624  1 0 0 0 
423 53.1012984 -27.9343370  0 0 0 0 
