# no.  UserID Distance DBSource ALPHA_GR_DEC_ORDER DELTA_GR_DEC_ORDER redshift redshift_err FAST_bc03_lmass FAST_ma05_lmass
# start data
    1  1000                       0.00 1000  53.13683160 -27.91734790  0.00000  0.0000 10.660 10.660
    2  10002                      0.00 10002  53.08634380 -27.81873230  2.81300  4.0000  9.220  9.220
    3  10009                      0.00 10009  53.09062380 -27.81883090  0.00000  0.0000  9.460  9.460
    4  10010                      0.00 10010  53.18938770 -27.81887420  0.00000  0.0000  9.380  9.380
    5  10014                      0.00 10014  53.05889380 -27.81950090  0.00000  0.0000 10.100 10.100
    6  10023                      0.00 10023  53.21848060 -27.81865990  0.00000  0.0000  9.970  9.970
    7  10030                      0.00 10030  53.16679710 -27.81849690  0.00000  0.0000  9.390  9.390
    8  10035                      0.00 10035  53.04436700 -27.81852850  0.00000  0.0000  9.500  9.500
    9  10041                      0.00 10041  53.21349930 -27.81846140  0.00000  0.0000  8.850  8.850
   10  10045                      0.00 10045  53.07018590 -27.81884760  0.00000  0.0000 10.580 10.580
   11  1005                       0.00 1005  53.17333210 -27.91771900  1.56690  2.0000  9.660  9.660
   12  10050                      0.00 10050  53.03426240 -27.81834100  0.00000  0.0000  9.630  9.630
   13  10053                      0.00 10053  53.13300430 -27.81808490  0.00000  0.0000  9.420  9.420
   14  10066                      0.00 10066  53.05508300 -27.81800120  0.00000  0.0000  9.870  9.870
   15  10073                      0.00 10073  53.21511080 -27.81819680  0.00000  0.0000  9.530  9.530
   16  10077                      0.00 10077  53.16407170 -27.81789280  0.00000  0.0000  8.880  8.880
   17  10080                      0.00 10080  53.01663600 -27.81798630  0.00000  0.0000  9.890  9.890
   18  10083                      0.00 10083  53.14722770 -27.81795160  0.00000  0.0000  9.620  9.620
   19  10090                      0.00 10090  53.14207890 -27.81991670  1.89880  4.0001 10.290 10.290
   20  10122                      0.00 10122  53.01696210 -27.81743370  0.00000  0.0000 10.450 10.450
   21  10130                      0.00 10130  53.06050030 -27.81857860  9.99990  0.0001  9.840  9.840
   22  10133                      0.00 10133  53.18115300 -27.81832090  0.00000  0.0000 10.010 10.010
   23  10134                      0.00 10134  53.10689790 -27.81773270  0.00000  0.0000  9.380  9.380
   24  10157                      0.00 10157  53.21109200 -27.81749660  0.00000  0.0000  9.340  9.340
   25  10171                      0.00 10171  53.11235550 -27.81711430  1.87200  2.0000  9.410  9.410
   26  10208                      0.00 10208  53.17817850 -27.81692890  0.00000  0.0000  9.030  9.030
   27  10211                      0.00 10211  53.19359700 -27.81678380  0.00000  0.0000  9.440  9.440
   28  10213                      0.00 10213  53.19671220 -27.81658610  0.00000  0.0000  8.980  8.980
   29  10218                      0.00 10218  53.03569000 -27.81669140  0.00000  0.0000  9.130  9.130
   30  10220                      0.00 10220  53.17580260 -27.81655680  0.00000  0.0000  9.120  9.120
   31  10240                      0.00 10240  53.22292860 -27.81648040  0.00000  0.0000  9.740  9.740
   32  10242                      0.00 10242  53.03053810 -27.81666350  0.00000  0.0000 10.090 10.090
   33  10243                      0.00 10243  53.16252230 -27.81654850  0.00000  0.0000  9.580  9.580
   34  10253                      0.00 10253  53.21940270 -27.81635090  2.34820  2.0000  9.410  9.410
