# ID_1   ID_2   R1/2_cir   R1/2_ell   Rpet_cir   Rpet_ell   C           A       G      M20    
  3227   37     0.2        0.23       0.38       0.44       2.3         0.02    0.43   -1.15  
  3280   38     0.19       0.19       0.44       0.44       2.94        0.14    0.52   -1.7   
  3656   92     0.29       0.32       0.66       0.69       2.74        0.03    0.49   -1.61  
  3790   116    0.42       0.48       0.99       1.08       3.11        -0.14   0.48   -1.78  
  3971   182    0.32       0.39       0.8        0.86       2.96        0.06    0.52   -1.53  
  4331   259    0.35       0.38       0.75       0.82       2.83        0.16    0.47   -1.64  
  4717   365    0.3        0.35       0.56       0.75       2.2         0.21    0.52   -1.2   
  4773   384    0.35       0.38       0.72       0.82       2.39        -0.07   0.45   -1.45  
  4820   374    0.34       0.39       0.73       0.83       2.68        0.06    0.49   -1.71  
  4876   381    0.35       0.41       0.94       0.99       2.87        0.15    0.46   -1.74  
  5001   423    0.23       0.31       0.53       0.75       2.94        0.09    0.55   -1.82  
  5197   554    0.2        0.21       0.44       0.45       2.69        0.03    0.49   -1.66  
  5529   684    0.16       0.17       0.35       0.36       2.46        -0.02   0.48   -1.6   
  5552   693    0.32       0.36       0.71       0.76       2.46        -0.01   0.45   -1.55  
  5608   720    0.22       0.24       0.53       0.55       2.95        0.04    0.51   -1.59  
  5641   724    0.19       0.2        0.43       0.45       2.9         0.05    0.5    -1.73  
  5843   807    0.2        0.21       0.44       0.45       2.68        0.18    0.49   -1.61  
  5868   827    0.2        0.22       0.39       0.45       2.6         0.05    0.46   -1.6   
  5904   840    0.35       0.48       0.93       1.28       3.08        0.44    0.58   -1.03  
  5986   877    0.17       0.17       0.36       0.36       2.68        -0.01   0.48   -1.69  
  6024   892    0.19       0.21       0.43       0.45       2.86        -0.01   0.5    -1.59  
  6118   924    0.2        0.23       0.45       0.54       2.59        0.01    0.52   -1.55  
  6278   989    0.22       0.22       0.47       0.48       2.75        0.06    0.5    -1.77  
  6300   1019   0.19       0.2        0.41       0.41       2.75        0.01    0.47   -1.81  
  6392   1063   0.21       0.23       0.49       0.53       2.75        0.12    0.5    -1.6   
  6463   1106   0.34       0.38       0.78       0.88       2.98        0.09    0.52   -1.75  
  6549   1145   0.18       0.2        0.39       0.43       3.03        0.0     0.49   -1.69  
  6588   1164   0.6        0.72       1.67       1.82       4.35        0.02    0.52   -1.03  
  6676   1222   0.26       0.28       0.56       0.6        2.58        0.16    0.48   -1.64  
  6730   1250   0.28       0.33       0.72       0.81       3.1         0.12    0.55   -1.62  
  6752   1243   0.34       0.29       0.83       0.95       3.42        0.05    0.57   -1.99  
  6780   1266   0.28       0.29       0.87       1.07       3.43        0.06    0.62   -1.46  
  6839   1321   0.23       0.25       0.46       0.5        2.06        0.13    0.4    -1.29  
  6895   1346   0.32       0.37       0.67       0.76       2.71        0.19    0.45   -1.38  
  6950   1363   0.19       0.21       0.47       0.5        2.77        0.04    0.51   -1.72  
