#ID RA DEC
54 53.1061542 -27.9516099
109 53.1050986 -27.9461143
258 53.1363615 -27.939223
274 53.0907378 -27.9395666
357 53.1000788 -27.9361716
366 53.1002665 -27.9364523
371 53.0917077 -27.9360139
377 53.0832739 -27.935494
397 53.0996945 -27.9347364
465 53.1400962 -27.9329165
494 53.1088667 -27.9316467
502 53.1617395 -27.9313224
535 53.1603935 -27.9303818
540 53.1102342 -27.9304933
550 53.1713052 -27.9301465
559 53.1752037 -27.9296252
570 53.105818 -27.9296013
603 53.1079245 -27.9286164
624 53.1493359 -27.9280912
627 53.1447578 -27.9284242
653 53.1606708 -27.9269761
658 53.0821575 -27.9269437
672 53.1541318 -27.9265603
688 53.1661602 -27.9260893
697 53.1581585 -27.9257154
710 53.1763592 -27.9255439
719 53.1750134 -27.9250638
745 53.1815953 -27.9241705
750 53.1550117 -27.9245455
777 53.1572525 -27.9234768
792 53.1670842 -27.9236863
798 53.1662482 -27.9228002
814 53.138987 -27.9224729
820 53.1560019 -27.922856
821 53.1694304 -27.922472
840 53.1716783 -27.9218356
842 53.1479173 -27.9217322
866 53.1128163 -27.9211476
867 53.2099654 -27.9210261
874 53.1755427 -27.9206644
881 53.180269 -27.9208566
899 53.1799269 -27.9206841
905 53.1473305 -27.9197982
908 53.1608589 -27.9198727
931 53.1160929 -27.9193868
939 53.1560466 -27.9191765
975 53.2075134 -27.9183163
1005 53.1733321 -27.917719
1031 53.162973 -27.9168822
1042 53.1636465 -27.9166946
1047 53.15992 -27.9165132
1052 53.1837868 -27.9162821
1054 53.1831468 -27.9176626
1057 53.1933607 -27.9161284
1064 53.159923 -27.9160917
1084 53.1936923 -27.9155864
1109 53.1390993 -27.9152572
1125 53.1683887 -27.9149755
1138 53.1708334 -27.9146636
1153 53.1504334 -27.9142909
1180 53.1724546 -27.9136475
1185 53.1703597 -27.9136667
1194 53.1672023 -27.9144033
1225 53.1563384 -27.9130623
1244 53.1953882 -27.9136237
1266 53.1637334 -27.9120514
1280 53.2025002 -27.9112634
1289 53.1635124 -27.9111888
1308 53.1723797 -27.9111932
1314 53.2153861 -27.9110418
1339 53.1830987 -27.910283
1341 53.2092354 -27.9102554
1354 53.2024509 -27.9097746
1364 53.220853 -27.9097545
1392 53.1676653 -27.9094734
1455 53.1886109 -27.9080574
1482 53.1484221 -27.9082326
1483 53.1485934 -27.9076348
1506 53.2112307 -27.9082988
1542 53.1623916 -27.9063386
1556 53.1619967 -27.9066958
1558 53.1883601 -27.9058495
1560 53.2043544 -27.9059092
1589 53.150827 -27.9054807
1623 53.1837407 -27.9044862
1643 53.1843529 -27.9041863
1646 53.1785248 -27.904294
1647 53.1553719 -27.9042681
1661 53.2128673 -27.9041911
1732 53.2242578 -27.9026498
1740 53.0923806 -27.9027095
1794 53.1556238 -27.9018014
1845 53.1330195 -27.9008636
1860 53.1760937 -27.9005442
1883 53.1697792 -27.9007874
1884 53.2114299 -27.9003002
1886 53.1145592 -27.9006907
1888 53.1720253 -27.900079
1898 53.1545002 -27.8998929
1907 53.1906069 -27.9003468
1909 53.1709126 -27.9004743
1926 53.1188104 -27.9001856
1929 53.2375839 -27.8999693
1942 53.0825867 -27.8995528
1946 53.0896156 -27.8999049
1985 53.2061243 -27.8984969
1986 53.15946 -27.8989329
1997 53.2027929 -27.8988436
2000 53.1688809 -27.8983019
2007 53.1857665 -27.8986621
2043 53.1877874 -27.898276
2065 53.1493373 -27.8974677
2109 53.1793424 -27.8973797
2136 53.1618938 -27.8970884
2179 53.1610366 -27.896071
2210 53.1897661 -27.8953694
2218 53.2003828 -27.8952568
2227 53.1890237 -27.8959937
2231 53.1283221 -27.895716
2236 53.1527613 -27.8953202
2255 53.1927567 -27.8945703
2269 53.1610995 -27.8944989
2278 53.2328259 -27.8946637
2292 53.1602079 -27.8945406
2296 53.1589591 -27.8944319
2298 53.2172577 -27.8941337
2308 53.2113565 -27.8937661
2322 53.1834795 -27.8938882
2324 53.1360842 -27.8937852
2349 53.196684 -27.8934798
2361 53.2111908 -27.8936461
2365 53.1412225 -27.8931878
2456 53.212662 -27.891739
2498 53.1857089 -27.8911472
2500 53.113311 -27.891269
2513 53.0952212 -27.89176
2520 53.1276738 -27.8910047
2567 53.187452 -27.8902436
2576 53.2413972 -27.8903643
2580 53.2547135 -27.8901565
2644 53.1645038 -27.8903886
2679 53.2577037 -27.8888733
2684 53.1601801 -27.8891938
2691 53.2557205 -27.8887622
2699 53.208537 -27.888714
2742 53.2128142 -27.8887476
2744 53.2106344 -27.8883668
2753 53.2133737 -27.8882541
2766 53.1882219 -27.8886634
2825 53.2664419 -27.8872418
2841 53.2447701 -27.8867353
2845 53.266235 -27.8867892
2887 53.2275177 -27.8863916
2912 53.2678862 -27.8859711
2923 53.2446033 -27.8864013
2926 53.1380785 -27.8872021
2933 53.2700247 -27.8858929
2941 53.2357533 -27.8856709
2954 53.202948 -27.8857416
2959 53.243963 -27.88553
3008 53.1899901 -27.8848914
3074 53.2481396 -27.8842409
3102 53.243237 -27.8836909
3169 53.2234065 -27.8831532
3175 53.2615417 -27.8829587
3194 53.2281868 -27.8827831
3200 53.1685747 -27.8831328
3211 53.1733667 -27.883164
3227 53.1056669 -27.8826077
3268 53.26081 -27.8817711
3280 53.0606151 -27.8823723
3304 53.082109 -27.8819673
3347 53.0878722 -27.8813031
3360 53.184637 -27.8809167
3382 53.2645855 -27.8805535
3397 53.1390735 -27.8806543
3506 53.2566515 -27.8792497
3560 53.2613746 -27.8786598
3593 53.2578701 -27.8785372
3594 53.1616492 -27.8784807
3643 53.0760044 -27.8781615
3644 53.1240263 -27.8785606
3656 53.0653613 -27.8785831
3666 53.2665176 -27.8778831
3746 53.2441442 -27.8768014
3750 53.2588567 -27.8766511
3790 53.0840807 -27.8773207
3792 53.2487897 -27.8763019
3796 53.1872488 -27.8764877
3852 53.1988998 -27.8762926
3895 53.202787 -27.8754442
3926 53.1302349 -27.8752374
3927 53.2468662 -27.8752482
3937 53.1963297 -27.8750919
3964 53.1661452 -27.874666
3971 53.0775917 -27.8748482
4061 53.1339882 -27.8742957
4140 53.2107931 -27.8739479
4204 53.1863168 -27.8728871
4235 53.2510609 -27.8721696
4237 53.2411126 -27.8724225
4260 53.2496144 -27.8719026
4291 53.2427327 -27.8719853
4331 53.071936 -27.8721088
4339 53.2541882 -27.8712962
4451 53.1873858 -27.8703901
4526 53.1573424 -27.8700866
4689 53.1224958 -27.8683679
4717 53.0617586 -27.867944
4773 53.1278608 -27.8674939
4820 53.0574308 -27.8674372
4876 53.0682135 -27.867
4932 53.1381316 -27.8654938
5001 53.0972362 -27.8657923
5032 53.2294555 -27.8644071
5128 53.1953321 -27.8633367
5158 53.1402899 -27.8634506
5197 53.1117644 -27.8627793
5529 53.1670541 -27.858942
5536 53.237326 -27.8592696
5552 53.0677463 -27.8591878
5559 53.2222133 -27.8585777
5599 53.1346132 -27.8586149
5608 53.1221543 -27.8582715
5641 53.1508519 -27.8583122
5843 53.1708814 -27.8562506
5868 53.1559794 -27.8559071
5904 53.0831805 -27.8561371
5986 53.0600832 -27.8546707
6024 53.1023365 -27.8543693
6118 53.0823342 -27.8536062
6129 53.2141713 -27.8530262
6278 53.0601149 -27.8529957
6300 53.2083236 -27.851431
6392 53.140705 -27.8505867
6463 53.0887672 -27.8504373
6549 53.0890355 -27.8490533
6588 53.1370532 -27.8500632
6664 53.1930509 -27.8480485
6676 53.0923032 -27.8479525
6730 53.0697631 -27.8475815
6752 53.0763996 -27.8486643
6780 53.0745639 -27.8472601
6839 53.0616187 -27.8462506
6895 53.094982 -27.8457816
6950 53.1562578 -27.8454768
6954 53.1103263 -27.8455952
7008 53.1378945 -27.8449699
7025 53.0637197 -27.8446244
7055 53.1227598 -27.8483046
7057 53.1938355 -27.8442792
7071 53.1372069 -27.8446494
7079 53.0896852 -27.8446014
7129 53.1935775 -27.8435125
7172 53.1939599 -27.8431947
7243 53.1018424 -27.8428
7259 53.1716707 -27.8424495
7308 53.0751522 -27.841774
